id;datum;charakter;land;titel;seitjahr;bemerkungen;antwortb;antwortc;antwortd;zusatzinfo;quizkat
3499;02.05.2021;Grusskarte;Deutschland;Jubilaeum;2021;Herzliche Glückwünsche zum Jubiläumstag (10. 15. 20. 25. 30. 50.);;;;;
3500;01.11.2021;Grusskarte;Deutschland;Allerheiligen;2021;Sammelfeste für alle Heiligen. 1. November. Sammelfeste für alle heiligen Martyrer und übrigen Heiligen bzw. die Heiligen einer bestimmten Region begegnen im christlichen Altertum im österlichen Umfeld.;;;;;
3501;03.05.2021;Grusskarte;Deutschland;Bussbettag;2021;in einigen evangelischen Bundesländern ist der Buß- und Bettag noch Feiertag;;;;;
3502;03.05.2021;Grusskarte;Deutschland;Dreikoenige;2021;Feiertag nur in Bayern und katholischen Bundesländern;;;;;
3503;03.05.2021;Grusskarte;Deutschland;Fronleichnam;2021;Hier die Geschichte dieses Feiertages;;;;;
3504;03.05.2021;Grusskarte;Deutschland;Fuehrerschein;2021;Jetzt darfst Du alleine durch den Straßenverkehr pflügen… Allzeit sichere Fahrt und alles Gute zum Führerschein.;;;;;
3505;03.05.2021;Grusskarte;Deutschland;Geburtstag;2021;Herzlichen Glückwunsch zum Geburtstag. Für die Zukunft Glück, Zufriedenheit und Erfolg, vor Allem jedoch persönliches Wohlergehen.;;;;;
3506;03.05.2021;Grusskarte;Deutschland;Geburtstag;2021;Älter werden schließlich alle. Doch eines gilt in jedem Falle. Jeweils alle Lebenszeiten haben ganz besondere Seiten. Wer sie sinnvoll nutzt mit Schwung, der bleibt sicher 100 Jahre jung. Alles Gute.;;;;;
3507;03.05.2021;Grusskarte;Deutschland;Geburtstag;2021;Zum Geburtstag ein kurzes Gedicht: Du bist ein Jahr älter - ich bins noch nicht! Für die Zukunft alles Gute.;;;;;
3508;03.05.2021;Grusskarte;Deutschland;Geburtstag;2021;Wieder ist ein Jahr vergangen, grad erst hat es angefangen, tröste Dich und bleibe froh, andern geht es ebenso, lasse dich durch nichts verdrießen, frohe Stunden zu genießen, dann sagst Du in einem Jahr, dieses Jahr war wunderbar;;;;;
3509;03.05.2021;Grusskarte;Deutschland;Geburtstag;2021;Lebe! Liebe! Lache! Auf diese Weise mache Dein neues Jahr zu einem Fest, das Dich Dein Leben feiern lässt. Es soll das neue Lebensjahr noch besser sein wie das alte war!;;;;;
3510;03.05.2021;Grusskarte;Deutschland;Geburtstag;2021;Rezept für ein glückliches Lebensjahr: Man nehme etwas Glück, von Liebe auch ein Stück, Geduld, etwas Zeit, Erfolg und Zufriedenheit. Das Ganze gut gerührt, zu langem Leben führt. Alles Gute!;;;;;
3511;03.05.2021;Grusskarte;Deutschland;Geburtstag;2021;Gesundheit, Lieb, Erfolg und Glück und von der Torte auch ein Stück. Noch lange sollst Du fröhlich leben und Uns solch tolle Partys geben.;;;;;
3512;03.05.2021;Grusskarte;Deutschland;Geburtstag;2021;Puste, puste, Pustekuchen! Dreimal darfst Du es versuchen! Wünsche Dir was Schönes bei, doch vermeid ne Sauerei!;;;;;
3513;03.05.2021;Grusskarte;Deutschland;Geburtstag;2021;Sahnetorte riesengroß! Wo bleiben denn die Gäste bloß? Muss Ich zum Geburtstagsessen die ganze Torte selber essen? Ach, Ich kann sie kommen sehen. Keiner wird den Kuchen schmähen. Gegen guten Wein im Tausch startet der Geschenkerausch.;;;;;
3514;03.05.2021;Grusskarte;Deutschland;Geburtstag;2021;Immer mehr sinds Mal für Mal. Stetig steigt die Kerzenzahl und an Falten werdens mehr. Irgendwie ist das nicht fair. Auch die Gelenke werden steifer, dafür die guten Weine reifer. Geburtstag feiern Wir schon wieder und singen auf Dich große Lieder.;;;;;
